Benchmark,Size,Size_KB,Assoc,Policy,InitProb,IPC,L2_Miss_Rate,L2_MPKI,Effective_Bypasses,Ineffective_Bypasses,Sim_Seconds,Writebacks
BT,128kB,128,8w,LRURP,50,0.22141891511343526,0.245435,2.105891831021266,0,0,2.376389,1044059.0
BT,128kB,128,8w,AdaptiveBypassRP,50,0.22144647515426402,0.244937,2.1016194649228663,2997,704,2.376094,1041887.0
BT,128kB,128,8w,AdaptiveBypassRP,20,0.22144109613006638,0.244946,2.1016974293247497,2890,694,2.376151,1041730.0
BT,128kB,128,8w,AdaptiveBypassRP,0,0.22143920143573098,0.244967,2.1018703747503875,2987,663,2.376172,1041864.0
BT,128kB,128,8w,AdaptiveBypassRP,80,0.2214459669179131,0.244923,2.1014977890448656,3069,715,2.376099,1041861.0
BT,128kB,128,8w,AdaptiveBypassRP,100,0.22144327305096345,0.244936,2.1016081058631566,2942,703,2.376128,1041747.0
BT,256kB,256,8w,LRURP,50,0.22678634436652031,0.092514,0.793792588934851,0,0,2.320147,1018521.0
BT,256kB,256,8w,AdaptiveBypassRP,50,0.22680074612502413,0.09218,0.7909304953953257,793,1311,2.32,1026066.0
BT,256kB,256,8w,AdaptiveBypassRP,20,0.22680101183414916,0.092181,0.7909323958939088,782,1340,2.319997,1026408.0
BT,256kB,256,8w,AdaptiveBypassRP,0,0.22679715884205112,0.092208,0.7911661196293978,776,1281,2.320037,1026097.0
BT,256kB,256,8w,AdaptiveBypassRP,80,0.22679840738661958,0.092189,0.7910064777559889,794,1319,2.320024,1026235.0
BT,256kB,256,8w,AdaptiveBypassRP,100,0.22679789641232556,0.092176,0.7908924478464112,828,1349,2.320029,1026351.0
BT,512kB,512,8w,LRURP,50,0.22995056153484902,0.00225,0.01930146298798799,0,0,2.288221,1506616.0
BT,512kB,512,8w,AdaptiveBypassRP,50,0.22995056424816426,0.002251,0.019316666976162848,4,83,2.288221,1506607.0
BT,512kB,512,8w,AdaptiveBypassRP,20,0.22995040355971647,0.002252,0.019322368471728423,0,66,2.288223,1506732.0
BT,512kB,512,8w,AdaptiveBypassRP,0,0.22995055982646537,0.00225,0.0193052639850317,1,4,2.288221,1506612.0
BT,512kB,512,8w,AdaptiveBypassRP,80,0.2299505250558392,0.002251,0.019316666976162848,1,99,2.288221,1506727.0
BT,512kB,512,8w,AdaptiveBypassRP,100,0.22995051741836203,0.002252,0.019320467973206565,1,117,2.288222,1506543.0
BT,1MB,1024,8w,LRURP,50,0.22995510823659918,0.002119,0.018178268361570018,0,0,2.288176,1509392.0
BT,1MB,1024,8w,AdaptiveBypassRP,50,0.22995504974728442,0.002124,0.018225780824616462,0,107,2.288176,1509330.0
BT,1MB,1024,8w,AdaptiveBypassRP,20,0.22995504974728442,0.002124,0.018221979827572746,0,77,2.288176,1509384.0
BT,1MB,1024,8w,AdaptiveBypassRP,0,0.22995510823659918,0.002119,0.018178268361570018,0,0,2.288176,1509392.0
BT,1MB,1024,8w,AdaptiveBypassRP,80,0.22995501547778566,0.002124,0.018225780824616462,0,135,2.288177,1509390.0
BT,1MB,1024,8w,AdaptiveBypassRP,100,0.22995501547778566,0.002124,0.018225780824616462,0,152,2.288177,1509392.0
CG,128kB,128,8w,LRURP,50,0.1735582241110805,0.991177,22.104423758084597,0,0,1.712284,712528.0
CG,128kB,128,8w,AdaptiveBypassRP,50,0.17352244426751262,0.991187,22.10462167742946,11077,160,1.712637,711493.0
CG,128kB,128,8w,AdaptiveBypassRP,20,0.17351952744248555,0.9912,22.10490463100649,10967,178,1.712666,711423.0
CG,128kB,128,8w,AdaptiveBypassRP,0,0.17351798077447367,0.991206,22.105042594079965,11085,200,1.712681,711428.0
CG,128kB,128,8w,AdaptiveBypassRP,80,0.1735314220004236,0.991207,22.105087248796988,10994,189,1.712549,711460.0
CG,128kB,128,8w,AdaptiveBypassRP,100,0.17353299826476928,0.991203,22.10498652336455,11091,192,1.712533,711469.0
CG,256kB,256,8w,LRURP,50,0.17388527391204928,0.984204,21.948902972105518,0,0,1.709064,711404.0
CG,256kB,256,8w,AdaptiveBypassRP,50,0.1738356225464222,0.984243,21.949779041550862,65,329,1.709552,711256.0
CG,256kB,256,8w,AdaptiveBypassRP,20,0.17383561962167887,0.98424,21.949698651981706,75,297,1.709552,711242.0
CG,256kB,256,8w,AdaptiveBypassRP,0,0.17383628868685883,0.984238,21.949657903249374,53,306,1.709545,711251.0
CG,256kB,256,8w,AdaptiveBypassRP,80,0.17383641437046898,0.984239,21.949671363060652,82,325,1.709544,711232.0
CG,256kB,256,8w,AdaptiveBypassRP,100,0.17382842830162665,0.984241,21.949722945249672,84,333,1.709622,711266.0
CG,512kB,512,8w,LRURP,50,0.17441847029656254,0.973308,21.705914107802883,0,0,1.703839,698537.0
CG,512kB,512,8w,AdaptiveBypassRP,50,0.17442467520869626,0.973335,21.706494705719088,83,28312,1.703778,698389.0
CG,512kB,512,8w,AdaptiveBypassRP,20,0.1744222838586508,0.973335,21.70650143562527,87,28288,1.703802,698400.0
CG,512kB,512,8w,AdaptiveBypassRP,0,0.1744207557589881,0.973336,21.706528355249997,90,28317,1.703817,698384.0
CG,512kB,512,8w,AdaptiveBypassRP,80,0.17442148679066394,0.973334,21.706481245906726,92,28309,1.703809,698390.0
CG,512kB,512,8w,AdaptiveBypassRP,100,0.17442308103629586,0.973338,21.706575464593268,87,28324,1.703794,698393.0
CG,1MB,1024,8w,LRURP,50,0.23984608624927456,0.040251,0.8976413385436027,0,0,1.239049,2909601.0
CG,1MB,1024,8w,AdaptiveBypassRP,50,0.2399622884095889,0.038591,0.8606235242182183,650,1899,1.238449,2966917.0
CG,1MB,1024,8w,AdaptiveBypassRP,20,0.23996337757306488,0.03859,0.8606100788892179,646,1864,1.238443,2969245.0
CG,1MB,1024,8w,AdaptiveBypassRP,0,0.23996651168422448,0.03856,0.859943803885986,634,1725,1.238427,2972555.0
CG,1MB,1024,8w,AdaptiveBypassRP,80,0.23996236571998833,0.038611,0.8610609679963876,644,1958,1.238449,2953593.0
CG,1MB,1024,8w,AdaptiveBypassRP,100,0.23995828015729032,0.038675,0.8625045150506281,605,2002,1.23847,2968354.0
FT,128kB,128,8w,LRURP,50,0.21903829486307103,0.387481,5.37415399917158,0,0,2.627187,9212506.0
FT,128kB,128,8w,AdaptiveBypassRP,50,0.21896396044238087,0.388779,5.392160564847545,6543,6276,2.628079,9204386.0
FT,128kB,128,8w,AdaptiveBypassRP,20,0.21896396044238087,0.38878,5.392167515872849,6553,6274,2.628079,9204395.0
FT,128kB,128,8w,AdaptiveBypassRP,0,0.21896520580396683,0.388782,5.3921988423383524,6529,6245,2.628064,9204643.0
FT,128kB,128,8w,AdaptiveBypassRP,80,0.21896396044238087,0.38878,5.392164040360197,6374,6289,2.628079,9204637.0
FT,128kB,128,8w,AdaptiveBypassRP,100,0.21896396044238087,0.38878,5.3921692536291745,6560,6285,2.628079,9204399.0
FT,256kB,256,8w,LRURP,50,0.22015304614840575,0.365412,5.068065816384535,0,0,2.613885,9114616.0
FT,256kB,256,8w,AdaptiveBypassRP,50,0.22007658310430028,0.366696,5.085876126148932,13,9247,2.614793,9114368.0
FT,256kB,256,8w,AdaptiveBypassRP,20,0.22007707612608077,0.366692,5.085820473753342,14,9257,2.614787,9114343.0
FT,256kB,256,8w,AdaptiveBypassRP,0,0.22008191100020122,0.366591,5.084425055346065,9,8549,2.614729,9114335.0
FT,256kB,256,8w,AdaptiveBypassRP,80,0.22007707612608077,0.366693,5.0858326380483,12,9306,2.614787,9114350.0
FT,256kB,256,8w,AdaptiveBypassRP,100,0.22007707612608077,0.366693,5.085841326830413,15,9291,2.614787,9114345.0
FT,512kB,512,8w,LRURP,50,0.21995625316651118,0.364852,5.0603014591337505,0,0,2.616223,9110519.0
FT,512kB,512,8w,AdaptiveBypassRP,50,0.21991931739878004,0.366116,5.077832033951159,15,20952,2.616663,9110246.0
FT,512kB,512,8w,AdaptiveBypassRP,20,0.21991931739878004,0.366117,5.077838984976886,15,20934,2.616663,9110247.0
FT,512kB,512,8w,AdaptiveBypassRP,0,0.21991813005620794,0.36602,5.076495496355888,11,19908,2.616677,9110253.0
FT,512kB,512,8w,AdaptiveBypassRP,80,0.2199167117868062,0.366118,5.077856115467042,10,20983,2.616694,9110258.0
FT,512kB,512,8w,AdaptiveBypassRP,100,0.2199167117868062,0.366117,5.077843951172612,12,20991,2.616694,9110239.0
FT,1MB,1024,8w,LRURP,50,0.21998960714748755,0.362002,5.020776050186334,0,0,2.615827,9100303.0
FT,1MB,1024,8w,AdaptiveBypassRP,50,0.21994738624301288,0.363234,5.03786007296641,5,26559,2.616329,9100089.0
FT,1MB,1024,8w,AdaptiveBypassRP,20,0.21994476800168875,0.363234,5.037853121940805,6,26546,2.61636,9100085.0
FT,1MB,1024,8w,AdaptiveBypassRP,0,0.21995322068296985,0.363144,5.036617620901501,16,24988,2.616259,9100099.0
FT,1MB,1024,8w,AdaptiveBypassRP,80,0.21994476800168875,0.363235,5.037873975017622,5,26604,2.61636,9100098.0
FT,1MB,1024,8w,AdaptiveBypassRP,100,0.21994476800168875,0.363235,5.037867023992016,5,26619,2.61636,9100094.0
IS,128kB,128,8w,LRURP,50,0.24022241110107087,0.800218,6.448603753968044,0,0,0.129726,172274.0
IS,128kB,128,8w,AdaptiveBypassRP,50,0.2402179724863961,0.80021,6.448539575346103,364,113,0.129728,172006.0
IS,128kB,128,8w,AdaptiveBypassRP,20,0.2402013046104508,0.80021,6.448539575346103,350,118,0.129737,172042.0
IS,128kB,128,8w,AdaptiveBypassRP,0,0.24020701645804846,0.800202,6.448475396724162,385,103,0.129734,172047.0
IS,128kB,128,8w,AdaptiveBypassRP,80,0.24022387771318615,0.800214,6.448571664657074,362,121,0.129725,172015.0
IS,128kB,128,8w,AdaptiveBypassRP,100,0.2402179724863961,0.800302,6.44927762949842,362,123,0.129728,172001.0
IS,256kB,256,8w,LRURP,50,0.24297612990982514,0.725794,5.848913642989782,0,0,0.128256,185381.0
IS,256kB,256,8w,AdaptiveBypassRP,50,0.2430666551052257,0.723441,5.829887691301964,91,181,0.128208,185494.0
IS,256kB,256,8w,AdaptiveBypassRP,20,0.2430666551052257,0.723353,5.829181726709811,91,189,0.128208,185512.0
IS,256kB,256,8w,AdaptiveBypassRP,0,0.2430842520479452,0.723409,5.829630976904817,112,162,0.128198,185522.0
IS,256kB,256,8w,AdaptiveBypassRP,80,0.2430801336685682,0.723314,5.828860833713377,121,194,0.128201,185503.0
IS,256kB,256,8w,AdaptiveBypassRP,100,0.2430836376952044,0.723409,5.829630976904817,105,187,0.128199,185515.0
IS,512kB,512,8w,LRURP,50,0.26965836890482614,0.101388,0.8171067182961053,0,0,0.115567,240617.0
IS,512kB,512,8w,AdaptiveBypassRP,50,0.26970716331557404,0.100779,0.8121969643901802,63,159,0.115546,240545.0
IS,512kB,512,8w,AdaptiveBypassRP,20,0.2697097636331934,0.10066,0.8112343035339633,69,132,0.115545,240580.0
IS,512kB,512,8w,AdaptiveBypassRP,0,0.2696870370593449,0.100895,0.8131275365511899,57,85,0.115555,240524.0
IS,512kB,512,8w,AdaptiveBypassRP,80,0.2696891282016063,0.100735,0.8118439887429006,66,176,0.115554,240543.0
IS,512kB,512,8w,AdaptiveBypassRP,100,0.2696951228192746,0.100751,0.8119724737994157,62,195,0.115551,240532.0
IS,1MB,1024,8w,LRURP,50,0.27263953895916393,0.037826,0.3048424283927542,0,0,0.114303,249008.0
IS,1MB,1024,8w,AdaptiveBypassRP,50,0.27263953895916393,0.037826,0.3048424283927542,0,135,0.114303,249008.0
IS,1MB,1024,8w,AdaptiveBypassRP,20,0.27263953895916393,0.037834,0.30490660574610007,0,106,0.114303,248986.0
IS,1MB,1024,8w,AdaptiveBypassRP,0,0.27263953895916393,0.037826,0.3048424283927542,0,0,0.114303,249008.0
IS,1MB,1024,8w,AdaptiveBypassRP,80,0.27263929805157855,0.03783,0.30487451706942714,0,164,0.114304,249008.0
IS,1MB,1024,8w,AdaptiveBypassRP,100,0.27263805297163635,0.037857,0.3050991378061376,0,180,0.114304,249006.0
LU,128kB,128,8w,LRURP,50,0.20450871621416647,0.260357,4.896299316070513,0,0,0.7945,2773315.0
LU,128kB,128,8w,AdaptiveBypassRP,50,0.2045043400167351,0.260012,4.889805601014915,2652,1789,0.794517,2770872.0
LU,128kB,128,8w,AdaptiveBypassRP,20,0.20450879072402542,0.26003,4.890162563359893,2630,1762,0.794499,2771039.0
LU,128kB,128,8w,AdaptiveBypassRP,0,0.20451409155932282,0.259974,4.889086003241661,2652,1689,0.794479,2770933.0
LU,128kB,128,8w,AdaptiveBypassRP,80,0.20450375058474685,0.260039,4.890316426439624,2648,1743,0.794519,2771017.0
LU,128kB,128,8w,AdaptiveBypassRP,100,0.2045043400167351,0.260035,4.8902487266845425,2648,1771,0.794517,2771042.0
LU,256kB,256,8w,LRURP,50,0.21486514237965337,0.096911,1.8225266429924314,0,0,0.756205,2915065.0
LU,256kB,256,8w,AdaptiveBypassRP,50,0.2148938146806155,0.096614,1.816926026890195,296,1256,0.756104,2915468.0
LU,256kB,256,8w,AdaptiveBypassRP,20,0.21489435297928397,0.096614,1.8169383359365734,270,1269,0.756102,2915585.0
LU,256kB,256,8w,AdaptiveBypassRP,0,0.21489083118649527,0.096621,1.8170676592058437,253,1228,0.756115,2915851.0
LU,256kB,256,8w,AdaptiveBypassRP,80,0.2148930853953802,0.096624,1.8171291261554408,280,1273,0.756107,2915897.0
LU,256kB,256,8w,AdaptiveBypassRP,100,0.21489616968614586,0.096627,1.8171845168641443,270,1251,0.756096,2915664.0
LU,512kB,512,8w,LRURP,50,0.22136696060514294,0.003713,0.06982920334461575,0,0,0.733995,2992907.0
LU,512kB,512,8w,AdaptiveBypassRP,50,0.22136757829770165,0.003717,0.06990306750021878,3,83,0.733992,2992893.0
