
---------- Begin Simulation Statistics ----------
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     12.64% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead               396462     86.85%     99.49% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite                1668      0.37%     99.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead             105      0.02%     99.88% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite            544      0.12%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total                 456487                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                    1507                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads                2965                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses         1413                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes               1737                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                       87186                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.190993                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                     223      0.26%      0.26% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%      0.26% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%      0.26% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%      0.26% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%      0.26% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%      0.26% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%      0.26% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%      0.26% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%      0.26% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%      0.26% # attempts to use FU when none available
